Päivämäärä;Huopalahti (asema);Kaisaniemi;Kulosaaren silta et.;Kulosaaren silta po. ;Kuusisaarentie;Lauttasaaren silta eteläpuoli;Merikannontie;Munkkiniemen silta eteläpuoli;Munkkiniemi silta pohjoispuoli;Heperian puisto (Ooppera);Pitkäsilta itäpuoli;Pitkäsilta länsipuoli;Lauttasaaren silta pohjoispuoli;Ratapihantie;Eteläesplanadi;Baana
ke 1 tammi 2014 00:00;;1;;;;;;2;5;3;;11;;;7;8
ke 1 tammi 2014 01:00;;3;;;;;;6;5;1;;8;;;5;4
ke 1 tammi 2014 02:00;;3;;;;;;1;1;1;;14;;;2;11
ke 1 tammi 2014 03:00;;2;;;;;;0;2;0;;7;;;5;3
ke 1 tammi 2014 04:00;;4;;;;;;1;1;1;;9;;;1;4
ke 1 tammi 2014 05:00;;2;;;;;;0;1;1;;7;;;1;2
ke 1 tammi 2014 06:00;;3;;;;;;6;2;2;;0;;;1;3
ke 1 tammi 2014 07:00;;1;;;;;;5;7;3;;3;;;3;5
ke 1 tammi 2014 08:00;;2;;;;;;1;1;0;;2;;;3;9
ke 1 tammi 2014 09:00;;2;;;;;;1;6;0;;4;;;0;8
ke 1 tammi 2014 10:00;;5;;;;;;1;10;4;;2;;;6;7
ke 1 tammi 2014 11:00;;5;;;;;;7;8;10;;9;;;4;10
ke 1 tammi 2014 12:00;;6;;;;;;10;18;7;;9;;;11;22
ke 1 tammi 2014 13:00;;9;;;;;;10;18;14;;10;;;11;25
ke 1 tammi 2014 14:00;;10;;;;;;21;18;26;;15;;;8;32
ke 1 tammi 2014 15:00;;19;;;;;;14;26;14;;17;;;11;32
ke 1 tammi 2014 16:00;;8;;;;;;10;5;1;;14;;;10;23
ke 1 tammi 2014 17:00;;5;;;;;;6;17;0;;10;;;8;18
ke 1 tammi 2014 18:00;;11;;;;;;3;14;2;;7;;;17;22
ke 1 tammi 2014 19:00;;5;;;;;;5;17;2;;7;;;2;15
ke 1 tammi 2014 20:00;;3;;;;;;8;3;1;;5;;;4;9
ke 1 tammi 2014 21:00;;2;;;;;;3;7;1;;5;;;6;9
ke 1 tammi 2014 22:00;;2;;;;;;2;2;2;;3;;;3;6
ke 1 tammi 2014 23:00;;0;;;;;;0;1;0;;4;;;0;2
to 2 tammi 2014 00:00;;1;;;;;;2;0;0;;7;;;1;5
to 2 tammi 2014 01:00;;1;;;;;;0;1;0;;1;;;0;2
to 2 tammi 2014 02:00;;0;;;;;;0;2;0;;0;;;0;0
to 2 tammi 2014 03:00;;0;;;;;;0;2;0;;1;;;1;0
to 2 tammi 2014 04:00;;0;;;;;;0;3;0;;3;;;2;2
to 2 tammi 2014 05:00;;0;;;;;;0;2;0;;3;;;3;7
to 2 tammi 2014 06:00;;11;;;;;;6;18;2;;5;;;14;30
to 2 tammi 2014 07:00;;41;;;;;;52;52;8;;4;;;26;62
to 2 tammi 2014 08:00;;60;;;;;;47;46;12;;17;;;53;107
to 2 tammi 2014 09:00;;42;;;;;;19;19;29;;15;;;37;71
to 2 tammi 2014 10:00;;23;;;;;;13;15;26;;21;;;27;34
to 2 tammi 2014 11:00;;23;;;;;;15;7;29;;38;;;25;31
to 2 tammi 2014 12:00;;21;;;;;;11;12;24;;21;;;26;37
to 2 tammi 2014 13:00;;23;;;;;;14;14;25;;24;;;18;42
to 2 tammi 2014 14:00;;20;;;;;;10;18;24;;27;;;41;39
to 2 tammi 2014 15:00;;49;;;;;;33;42;43;;28;;;47;71
to 2 tammi 2014 16:00;;68;;;;;;46;33;14;;28;;;63;105
to 2 tammi 2014 17:00;;45;;;;;;48;42;15;;33;;;46;97
to 2 tammi 2014 18:00;;31;;;;;;30;17;15;;31;;;38;66
to 2 tammi 2014 19:00;;21;;;;;;20;15;13;;21;;;25;39
to 2 tammi 2014 20:00;;13;;;;;;13;7;6;;16;;;20;38
to 2 tammi 2014 21:00;;4;;;;;;4;9;1;;15;;;7;16
to 2 tammi 2014 22:00;;6;;;;;;4;0;3;;8;;;3;14
to 2 tammi 2014 23:00;;1;;;;;;0;2;1;;4;;;3;6
pe 3 tammi 2014 00:00;;0;;;;;;0;0;1;;2;;;3;1
pe 3 tammi 2014 01:00;;1;;;;;;0;3;3;;5;;;0;2
pe 3 tammi 2014 02:00;;0;;;;;;1;1;0;;1;;;1;0
pe 3 tammi 2014 03:00;;0;;;;;;0;0;0;;0;;;0;1
pe 3 tammi 2014 04:00;;0;;;;;;0;2;0;;0;;;1;0
pe 3 tammi 2014 05:00;;1;;;;;;1;2;0;;3;;;2;8
pe 3 tammi 2014 06:00;;8;;;;;;10;10;4;;5;;;16;32
pe 3 tammi 2014 07:00;;37;;;;;;56;39;7;;5;;;28;66
pe 3 tammi 2014 08:00;;60;;;;;;47;40;14;;12;;;49;105
pe 3 tammi 2014 09:00;;22;;;;;;21;16;32;;12;;;39;60
pe 3 tammi 2014 10:00;;34;;;;;;10;10;26;;20;;;29;33
pe 3 tammi 2014 11:00;;28;;;;;;6;16;23;;23;;;41;26
pe 3 tammi 2014 12:00;;32;;;;;;19;19;27;;26;;;23;41
pe 3 tammi 2014 13:00;;25;;;;;;22;20;34;;22;;;32;44
pe 3 tammi 2014 14:00;;31;;;;;;12;20;33;;32;;;41;55
pe 3 tammi 2014 15:00;;41;;;;;;38;36;58;;38;;;36;85
pe 3 tammi 2014 16:00;;59;;;;;;43;48;19;;42;;;56;108
pe 3 tammi 2014 17:00;;46;;;;;;51;30;9;;43;;;57;90
pe 3 tammi 2014 18:00;;31;;;;;;18;19;9;;37;;;35;52
pe 3 tammi 2014 19:00;;25;;;;;;19;15;4;;26;;;17;34
pe 3 tammi 2014 20:00;;11;;;;;;11;9;4;;10;;;19;27
pe 3 tammi 2014 21:00;;9;;;;;;11;8;6;;12;;;9;19
pe 3 tammi 2014 22:00;;7;;;;;;5;4;1;;7;;;6;10
pe 3 tammi 2014 23:00;;4;;;;;;5;0;0;;6;;;6;13
la 4 tammi 2014 00:00;;3;;;;;;0;0;2;;3;;;5;3
la 4 tammi 2014 01:00;;4;;;;;;0;1;1;;6;;;2;4
la 4 tammi 2014 02:00;;2;;;;;;1;0;1;;4;;;4;3
la 4 tammi 2014 03:00;;2;;;;;;0;1;0;;4;;;0;2
la 4 tammi 2014 04:00;;2;;;;;;1;0;0;;2;;;1;2
la 4 tammi 2014 05:00;;2;;;;;;0;1;0;;1;;;2;2
la 4 tammi 2014 06:00;;1;;;;;;2;4;0;;1;;;1;5
la 4 tammi 2014 07:00;;6;;;;;;1;11;1;;0;;;3;7
la 4 tammi 2014 08:00;;9;;;;;;4;3;0;;7;;;4;10
la 4 tammi 2014 09:00;;18;;;;;;4;5;16;;9;;;10;12
la 4 tammi 2014 10:00;;18;;;;;;11;14;11;;18;;;12;19
la 4 tammi 2014 11:00;;21;;;;;;13;15;24;;16;;;26;40
la 4 tammi 2014 12:00;;21;;;;;;13;22;27;;29;;;24;44
la 4 tammi 2014 13:00;;23;;;;;;33;14;43;;24;;;31;44
la 4 tammi 2014 14:00;;21;;;;;;27;17;31;;23;;;24;50
la 4 tammi 2014 15:00;;28;;;;;;11;10;13;;34;;;27;44
la 4 tammi 2014 16:00;;16;;;;;;16;13;9;;29;;;26;44
la 4 tammi 2014 17:00;;24;;;;;;16;8;3;;23;;;22;34
la 4 tammi 2014 18:00;;14;;;;;;9;7;3;;9;;;6;14
la 4 tammi 2014 19:00;;8;;;;;;3;4;1;;6;;;5;10
la 4 tammi 2014 20:00;;5;;;;;;4;5;1;;6;;;9;8
la 4 tammi 2014 21:00;;3;;;;;;2;3;3;;9;;;7;11
la 4 tammi 2014 22:00;;6;;;;;;1;2;0;;7;;;2;7
la 4 tammi 2014 23:00;;1;;;;;;2;0;0;;10;;;6;3
su 5 tammi 2014 00:00;;2;;;;;;2;0;0;;7;;;6;4
su 5 tammi 2014 01:00;;0;;;;;;0;0;0;;6;;;3;2
su 5 tammi 2014 02:00;;2;;;;;;1;0;0;;4;;;2;0
su 5 tammi 2014 03:00;;2;;;;;;0;2;0;;5;;;2;2
su 5 tammi 2014 04:00;;4;;;;;;0;0;1;;5;;;1;4
su 5 tammi 2014 05:00;;3;;;;;;0;2;0;;1;;;1;0
su 5 tammi 2014 06:00;;0;;;;;;3;4;0;;0;;;0;7
su 5 tammi 2014 07:00;;11;;;;;;3;6;0;;0;;;1;2
su 5 tammi 2014 08:00;;3;;;;;;4;4;0;;2;;;0;6
su 5 tammi 2014 09:00;;4;;;;;;2;12;7;;3;;;7;16
su 5 tammi 2014 10:00;;13;;;;;;16;10;14;;10;;;7;17
su 5 tammi 2014 11:00;;20;;;;;;12;31;20;;17;;;20;33
su 5 tammi 2014 12:00;;24;;;;;;23;25;25;;18;;;20;37
su 5 tammi 2014 13:00;;20;;;;;;20;31;43;;21;;;18;55
su 5 tammi 2014 14:00;;20;;;;;;26;21;42;;27;;;12;54
su 5 tammi 2014 15:00;;18;;;;;;27;23;17;;27;;;19;54
su 5 tammi 2014 16:00;;12;;;;;;26;21;3;;30;;;17;35
su 5 tammi 2014 17:00;;24;;;;;;12;13;3;;17;;;27;38
su 5 tammi 2014 18:00;;23;;;;;;14;21;4;;19;;;23;40
su 5 tammi 2014 19:00;;16;;;;;;20;11;2;;16;;;16;25
su 5 tammi 2014 20:00;;9;;;;;;6;6;1;;12;;;13;24
su 5 tammi 2014 21:00;;8;;;;;;8;4;1;;6;;;4;21
su 5 tammi 2014 22:00;;2;;;;;;5;2;0;;6;;;5;10
su 5 tammi 2014 23:00;;3;;;;;;5;1;0;;3;;;6;11
ma 6 tammi 2014 00:00;;0;;;;;;2;1;0;;4;;;4;7
ma 6 tammi 2014 01:00;;1;;;;;;0;2;0;;3;;;0;2
ma 6 tammi 2014 02:00;;0;;;;;;1;0;0;;4;;;0;2
ma 6 tammi 2014 03:00;;0;;;;;;0;1;1;;0;;;0;1
ma 6 tammi 2014 04:00;;1;;;;;;0;0;0;;3;;;0;3
ma 6 tammi 2014 05:00;;0;;;;;;1;2;1;;3;;;1;2
ma 6 tammi 2014 06:00;;1;;;;;;0;1;0;;2;;;0;5
ma 6 tammi 2014 07:00;;3;;;;;;7;6;0;;3;;;2;10
ma 6 tammi 2014 08:00;;3;;;;;;4;4;0;;3;;;4;6
ma 6 tammi 2014 09:00;;8;;;;;;3;6;7;;6;;;5;12
ma 6 tammi 2014 10:00;;9;;;;;;13;10;15;;3;;;12;20
ma 6 tammi 2014 11:00;;16;;;;;;20;16;25;;16;;;15;35
ma 6 tammi 2014 12:00;;30;;;;;;21;13;26;;18;;;26;53
ma 6 tammi 2014 13:00;;23;;;;;;26;25;44;;40;;;22;57
ma 6 tammi 2014 14:00;;30;;;;;;26;20;48;;24;;;27;58
ma 6 tammi 2014 15:00;;29;;;;;;25;15;27;;38;;;20;59
ma 6 tammi 2014 16:00;;12;;;;;;24;17;8;;33;;;27;46
ma 6 tammi 2014 17:00;;20;;;;;;22;9;4;;28;;;27;48
ma 6 tammi 2014 18:00;;22;;;;;;12;8;5;;26;;;28;34
ma 6 tammi 2014 19:00;;27;;;;;;13;6;2;;16;;;21;35
ma 6 tammi 2014 20:00;;22;;;;;;14;8;5;;18;;;14;29
ma 6 tammi 2014 21:00;;6;;;;;;4;7;4;;6;;;10;17
ma 6 tammi 2014 22:00;;9;;;;;;4;3;2;;11;;;5;3
ma 6 tammi 2014 23:00;;2;;;;;;1;0;1;;4;;;1;1
ti 7 tammi 2014 00:00;;0;;;;;;0;0;0;;2;;;2;3
ti 7 tammi 2014 01:00;;0;;;;;;0;0;0;;6;;;0;3
ti 7 tammi 2014 02:00;;0;;;;;;1;0;0;;0;;;0;1
ti 7 tammi 2014 03:00;;0;;;;;;1;0;0;;2;;;0;0
ti 7 tammi 2014 04:00;;0;;;;;;0;0;1;;1;;;1;2
ti 7 tammi 2014 05:00;;2;;;;;;4;2;0;;5;;;4;8
ti 7 tammi 2014 06:00;;15;;;;;;18;17;8;;7;;;9;42
ti 7 tammi 2014 07:00;;40;;;;;;71;51;9;;11;;;29;87
ti 7 tammi 2014 08:00;;89;;;;;;72;67;16;;20;;;73;127
ti 7 tammi 2014 09:00;;49;;;;;;20;23;29;;24;;;51;83
ti 7 tammi 2014 10:00;;15;;;;;;17;12;24;;26;;;26;29
ti 7 tammi 2014 11:00;;21;;;;;;9;11;19;;16;;;31;27
ti 7 tammi 2014 12:00;;15;;;;;;12;9;12;;28;;;20;32
ti 7 tammi 2014 13:00;;20;;;;;;10;8;18;;27;;;17;22
ti 7 tammi 2014 14:00;;21;;;;;;9;12;29;;24;;;23;34
ti 7 tammi 2014 15:00;;36;;;;;;33;38;33;;18;;;48;80
ti 7 tammi 2014 16:00;;70;;;;;;53;42;19;;31;;;58;99
ti 7 tammi 2014 17:00;;58;;;;;;50;48;21;;32;;;55;111
ti 7 tammi 2014 18:00;;35;;;;;;36;19;3;;24;;;33;56
ti 7 tammi 2014 19:00;;27;;;;;;24;6;6;;13;;;14;44
ti 7 tammi 2014 20:00;;18;;;;;;11;9;4;;18;;;11;29
ti 7 tammi 2014 21:00;;2;;;;;;14;12;1;;4;;;9;12
ti 7 tammi 2014 22:00;;3;;;;;;4;3;2;;7;;;7;12
ti 7 tammi 2014 23:00;;1;;;;;;0;1;0;;3;;;1;1
ke 8 tammi 2014 00:00;;2;;;;;;1;0;0;;2;;;2;1
ke 8 tammi 2014 01:00;;0;;;;;;0;0;0;;1;;;1;2
ke 8 tammi 2014 02:00;;0;;;;;;0;1;0;;1;;;0;1
ke 8 tammi 2014 03:00;;0;;;;;;0;0;0;;2;;;0;0
ke 8 tammi 2014 04:00;;0;;;;;;0;2;0;;0;;;1;2
ke 8 tammi 2014 05:00;;0;;;;;;1;1;0;;2;;;2;7
ke 8 tammi 2014 06:00;;14;;;;;;16;22;4;;10;;;10;38
ke 8 tammi 2014 07:00;;56;;;;;;65;64;9;;12;;;38;96
ke 8 tammi 2014 08:00;;84;;;;;;59;76;15;;16;;;78;130
ke 8 tammi 2014 09:00;;59;;;;;;32;30;27;;38;;;57;81
ke 8 tammi 2014 10:00;;21;;;;;;12;16;20;;15;;;19;21
ke 8 tammi 2014 11:00;;13;;;;;;16;14;17;;26;;;22;25
ke 8 tammi 2014 12:00;;19;;;;;;16;16;13;;22;;;25;30
ke 8 tammi 2014 13:00;;20;;;;;;13;11;18;;25;;;24;25
ke 8 tammi 2014 14:00;;51;;;;;;21;18;35;;28;;;30;32
ke 8 tammi 2014 15:00;;56;;;;;;41;36;43;;38;;;59;79
ke 8 tammi 2014 16:00;;80;;;;;;68;60;19;;30;;;73;120
ke 8 tammi 2014 17:00;;70;;;;;;70;56;14;;39;;;79;126
ke 8 tammi 2014 18:00;;45;;;;;;41;23;13;;37;;;40;92
ke 8 tammi 2014 19:00;;25;;;;;;30;13;11;;25;;;42;75
ke 8 tammi 2014 20:00;;19;;;;;;26;15;9;;21;;;26;44
ke 8 tammi 2014 21:00;;6;;;;;;15;10;5;;12;;;15;28
ke 8 tammi 2014 22:00;;10;;;;;;4;5;3;;13;;;6;13
ke 8 tammi 2014 23:00;;2;;;;;;0;2;2;;10;;;6;2
